DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,DOLLARKR,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLELSPH,DOLNGSPH,DOLFOSPH,DOLLPSPH,DOLKRSPH,DOLELWTH,DOLNGWTH,DOLFOWTH,DOLLPWTH,DOLKRWTH,DOLELAPL,DOLNGAPL,DOLFOAPL,DOLLPAPL,DOLKRAPL,DOLELCOL,DOLNGCOL,DOLELRFG,DOLELFZZ,DOLELCOK,DOLELDWH,DOLELCDR
3799, 15256,9,2,4,0, 904, 5982,2,   0, 813, 920,   0,   0,  23, 753,   0,   0,   0,   0, 167,   0,   0,  0, 614,  0, 0,  0,0,  39, 0,137, 79, 32, 64,146
3800, 17321,9,3,5,0,1059, 3641,2,   0,1183, 954,   0,   0,   0, 680,   0,   0,   0,   0, 274,   0,   0,  0, 909,  0, 0,  0,0, 165, 0,109,221, 39,  0,120
3801, 10890,9,2,4,0, 494, 8937,2,   0, 781,   0,   0,1032,   0,   0,   0, 757,   0,   0,   0,   0, 275,  0, 713,  0, 0,  0,0,   0, 0, 68, 71, 61,  0,201
3802, 11717,9,4,8,0, 108, 7835,2,   0,1289,   0,   0,   0, 516,   0,   0,   0,   0, 284,   0,   0,   0,  0, 393,  0, 0,  0,0,   0, 0, 96, 34, 42, 12, 83
3803, 11893,9,1,2,0, 894, 5127,3,  33,1099,1074,   0,   0,   0, 766,   0,   0,  33,   0, 244,   0,   0,  0, 934, 64, 0,  0,0,  61, 0,104, 39, 77,  0,286
3804,  9232,9,3,6,0,1685, 4075,5,   0, 599,   0,   0,   0, 161,   0,   0,   0,   0,  91,   0,   0,   0,  0, 192,  0, 0,  0,0,  80, 0, 75,  0, 15,  0,  0
3805, 13406,9,1,2,0, 939, 5029,2,   0, 922, 738,   0,   0,   0, 457,   0,   0,   0,   0, 220,   0,   0,  0, 598, 61, 0,  0,0, 153, 0,171,  0,  0,  0,146
3806, 11722,9,4,8,0, 727, 6027,2,   0, 472, 462,   0,   0,   0, 370,   0,   0,   0,   0,  92,   0,   0,  0, 413,  0, 0,  0,0,   0, 0, 59,  0, 23, 45, 69
3807, 17096,9,1,2,1,1068, 4639,5,   0, 456, 135, 103,   0,   0,   0,  70,   0,   0,   0,   0,  33,   0,  0, 205,135, 0,  0,0,  51, 0,200,  0,  0,  0,  0
3808, 32964,9,4,9,2,1335, 2287,2,   0, 623, 524,   0,   0,   0, 342,   0,   0,   0,   0, 152,   0,   0,  0, 397, 30, 0,  0,0,  81, 0,145,  0, 21,  9,  0
3809, 20823,9,2,3,0, 745, 5989,2,   0, 684, 567,   0,   0,   0, 348,   0,   0,   0,   0, 177,   0,   0,  0, 568, 42, 0,  0,0,  45, 0, 71, 76,  0, 50,146
3810, 13047,9,1,2,0, 370, 6469,2,   0,1565,   0,   0,   0,   0,   0,   0,   0,   0, 480,   0,   0,   0,  0, 926,  0, 0,  0,0,   0, 0,159, 74, 66, 61,164
3811, 22689,9,2,3,0, 477, 7365,3,   0, 451, 863,   0,   0,  92, 678,   0,   0,   0,   0, 148,   0,   0,  0, 267, 37, 0,  0,0,  18, 0, 74,  0,  0,  0, 76
3812, 19431,1,3,7,3,2355, 2637,2,   0,6482,   0,   0,   0,2472,   0,   0,   0,   0, 542,   0,   0,   0,  0,2141,  0, 0,  0,0, 438, 0,889,549, 97, 60,413
3813, 19946,9,3,5,0, 948, 4365,1,   0, 931,   0, 160,   0,   0,   0, 160,   0,   0, 251,   0,   0,   0,  0, 445,  0, 0,  0,0, 139, 0, 96,  0, 25,  0,  0
3814, 22407,9,2,3,0, 539, 6145,3,   0,1129,   0,   0,   0, 391,   0,   0,   0,   0, 274,   0,   0,   0,  0, 321,  0, 0,  0,0,   0, 0,143,  0, 51,  0,  0
3815, 15687,9,1,2,1,1189, 4585,4,   0, 292,  53, 968,   0,   0,   0, 751,   0,   0,   0,   0, 217,   0,  0, 133, 53, 0,  0,0,   0, 0,159,  0,  0,  0,  0
3816, 25101,9,3,7,0,2070, 2829,2,   0,1275,   0,   0,   0, 314,   0,   0,   0,   0, 201,   0,   0,   0,  0, 502,  0, 0,  0,0, 151, 0,107,  0, 19, 12, 79
3817, 27326,9,2,3,0, 683, 5801,2,   0, 393, 750,   0,   0,   0, 616,   0,   0,   0,   0, 106,   0,   0,  0, 244, 28, 0,  0,0,  67, 0, 82,  0, 15,  9,  0
3818, 11843,9,3,5,4,4016,  156,5,   0, 310,  32,   0,   0,   5,   0,   0,   0,   0,   0,  32,   0,   0,  0, 127,  0, 0,  0,0,  87, 0, 91,  0, 14,  0,  0
3819, 22240,9,1,2,1, 871, 4983,5,   0, 492, 172, 401,   0,   0,   0, 169,   0,   0,   0,   0, 232,   0,  0, 385,172, 0,  0,0,   0, 0,107,  0,  0,  0,  0
3820, 17975,9,3,5,0,1651, 2542,5,   0, 403,   0,   0,   0,  40,   0,   0,   0,   0,  88,   0,   0,   0,  0, 141,  0, 0,  0,0,  45, 0, 89,  0, 13,  0,  0
3821, 16308,9,3,5,0,1672, 2503,5,   0, 778,   0,   0,   0,  58,   0,   0,   0,   0, 174,   0,   0,   0,  0, 352,  0, 0,  0,0, 127, 0, 67,  0, 19,  8, 41
3822, 10416,9,1,1,0, 236, 8414,2,   0, 708,   0,   0,   0,   0,   0,   0,   0,   0, 270,   0,   0,   0,  0, 384,  0, 0,  0,0,   0, 0, 54, 39, 42,  0,  0
3823,  6444,9,4,9,0, 202, 4236,5,   0, 192,   0,   0,   0,  48,   0,   0,   0,   0,  59,   0,   0,   0,  0,  62,  0, 0,  0,0,   0, 0, 23,  0, 21,  0,  0
3824, 13528,9,1,2,1, 967, 4839,2,   0, 847,   0,   0, 819,   0,   0,   0, 758,   0, 366,   0,   0,   0,  0, 372,  0, 0, 61,0,   0, 0,109,  0,  0,  0,  0
3825, 11411,9,3,7,3,1677, 4485,2,   0, 756, 684,   0,   0,   0, 454,   0,   0,   0,   0, 190,   0,   0,  0, 644, 40, 0,  0,0,   0, 0,112,  0,  0, 71, 88
3826, 10846,9,3,7,3,2521, 2467,4,   0, 294, 189,   0,   0,   0, 136,   0,   0,   0,   0,  40,   0,   0,  0, 128, 13, 0,  0,0,  57, 0,109,  0,  0,  0,  0
